station id,depth,Water C,DO MG/L,SPC,TDS mg/L,PH,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,
,2,5.1,12.72,46.60,30.55,6.37,people:,Max and Heidi,,,,,,,,,,,,
,3,5.1,13.00,47.00,30.55,6.32,air temp (C):, 	7.8 ,,,,,,,,,,,,
,4,5.1,13.05,46.60,30.55,6.31,secchi 1 (m):, 	4.9 ,,,,,,,,,,,,
,5,4.9,13.06,47.00,30.55,6.32,secchi 2 (m):, 	4.5 ,,,,,,,,,,,,
,6,4.9,12.54,46.90,30.55,6.33,Nitrogen (ug/L):,na,,,,,,,,,,,,
,7,4.9,12.55,46.70,30.55,6.33,Phosporus (ug/L):,na,,,,,,,,,,,,
,8,5.0,12.63,46.40,30.55,6.33,,,,,,,,,,,,,,
,9,5.0,12.83,47.00,30.55,6.35,DATA NOTES,no lab samples,,,,,,,,,,,,
,10,5.1,12.43,46.60,30.55,6.35,,,,,,,,,,,,,,
,11,5.1,12.56,46.70,30.55,6.37,,,,,,,,,,,,,,
,12,5.0,12.32,46.60,30.55,6.38,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,6.6,14.60,47.70,31.20,6.92,date/time:,2021/Mar/18 11:00,,,,,,,,,,,,
,1,6.5,14.51,47.70,31.20,6.78,weather:,nice and sunny turned to WET/rain,,,,,,,,,,,,
,2,6.5,14.42,47.70,31.20,6.73,people:,Carrie and Gina,,,,,,,,,,,,
,3,6.5,13.67,47.80,31.20,6.72,air temp (C):, 	7.8 ,,,,,,,,,,,,
,4,6.3,14.30,47.80,31.20,6.81,secchi 1 (m):, 	2.9 ,,,,,,,,,,,,
,5,5.8,13.80,47.80,31.20,6.83,secchi 2 (m):, 	2.9 ,,,,,,,,,,,,
,6,5.7,14.42,47.80,31.20,6.71,Nitrogen (ug/L):,na,,,,,,,,,,,,
,7,5.6,14.17,47.80,31.20,6.67,Phosporus (ug/L):,na,,,,,,,,,,,,
,8,5.6,14.06,47.80,31.20,6.66,,,,,,,,,,,,,,
,9,5.6,14.00,47.80,31.20,6.69,DATA NOTES,murky water. No lab samples,,,,,,,,,,,,
,10,5.6,14.02,47.80,31.20,6.72,,,,,,,,,,,,,,
,11,5.6,13.81,47.80,31.20,6.74,,,,,,,,,,,,,,
,12,5.5,14.17,47.90,31.20,6.73,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,15.9,11.72,48.50,31.20,7.07,date/time:,2021/Apr/20 11:15,,,,,,,,,,,,
,1,15.7,12.11,48.40,31.20,7.06,weather:,"sunny, calm",,,,,,,,,,,,
,2,12.0,13.65,48.00,31.20,7.35,people:,Carrie and Gina,,,,,,,,,,,,
,3,10.2,14.00,47.90,31.20,7.12,air temp (C):, 	18.4 ,,,,,,,,,,,,
,4,9.6,14.17,47.80,31.20,6.92,secchi 1 (m):, 	3.7 ,,,,,,,,,,,,
,5,8.8,14.27,47.80,31.20,6.97,secchi 2 (m):, 	4.4 ,,,,,,,,,,,,
,6,8.6,14.38,47.80,31.20,6.96,Nitrogen (ug/L):,na,,,,,,,,,,,,
,7,8.3,13.31,49.90,31.20,6.81,Phosporus (ug/L):,na,,,,,,,,,,,,
,8,8.2,13.18,48.00,31.20,6.73,,,,,,,,,,,,,,
,9,8.1,12.90,48.00,31.20,6.70,DATA NOTES,"no lab samples, but see Dillon Creek for April in DWG",,,,,,,,,,,,
,10,7.8,12.11,48.20,31.20,6.65,,,,,,,,,,,,,,
,11,7.2,12.16,48.20,31.20,6.59,,,,,,,,,,,,,,
,12,7.7,11.77,48.30,31.20,6.57,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,16.8,10.90,48.50,31.85,7.10,date/time:,2021/May/05 14:00,,,,,,,,,,,,
,1,16.9,11.25,48.70,31.85,7.00,weather:,"cloudy, rain, windy",,,,,,,,,,,,
,2,16.9,11.05,48.70,31.85,6.98,people:,Gina and Lisa Ferentinos,,,,,,,,,,,,
,3,16.9,10.86,48.60,31.85,6.97,air temp (C):, 	14.5 ,,,,,,,,,,,,
,4,16.8,11.03,48.70,31.85,6.98,secchi 1 (m):, 	5.2 ,,,,,,,,,,,,
,5,12.8,14.14,48.00,31.20,7.11,secchi 2 (m):, 	5.2 ,,,,,,,,,,,,
,6,10.4,15.41,47.70,31.20,7.11,Nitrogen (ug/L):,na,,,,,,,,,,,,
,7,9.7,15.76,48.20,31.20,6.81,Phosporus (ug/L):,na,,,,,,,,,,,,
,8,8.5,12.12,48.50,31.20,6.52,,,,,,,,,,,,,,
,9,8.3,9.32,48.70,31.85,6.36,DATA NOTES,no lab samples,,,,,,,,,,,,
,10,8.0,7.36,49.20,31.85,6.26,,June  -- skipped this month because too hot to go out,,,,,,,,,,,,
,11,8.0,6.17,49.50,32.50,6.18,,,,,,,,,,,,,,
,12,7.9,5.40,49.70,32.50,6.14,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,na,na,na,na,na,date/time:,2021/Jul/07 11:30,,,,,,,,,,,,
,1,24.4,7.63,50.90,31.35,7.36,weather:,"sunny, warm, light breeze",,,,,,,,,,,,
,2,24.1,8.46,50.90,33.15,7.17,people:,Gina and Michelle Douglas (summer assistant),,,,,,,,,,,,
,3,24.7,8.67,50.80,33.15,7.15,air temp (C):, 	28.9 ,,,,,,,,,,,,
,4,23.5,9.23,50.80,33.15,7.01,secchi 1 (m):, 	6.7 ,,,,,,,,,,,,
,5,20.1,11.59,49.40,33.85,7.55,secchi 2 (m):, 	6.6 ,,,,,,,,,,,,
,6,14.4,15.77,48.70,33.85,7.67,Nitrogen (ug/L):,na,,,,,,,,,,,,
,7,10.8,14.75,48.70,33.85,7.21,Phosporus (ug/L):,na,,,,,,,,,,,,
,8,9.4,10.01,49.50,32.50,6.64,,,,,,,,,,,,,,
,9,8.9,7.02,51.00,33.15,6.39,DATA NOTES,no water samples,,,,,,,,,,,,
,10,8.6,4.49,52.50,34.45,6.26,,,,,,,,,,,,,,
,11,8.4,3.23,54.50,35.75,6.18,,,,,,,,,,,,,,
,12,8.4,2.33,55.20,35.75,6.14,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,24.0,5.13,51.70,34.80,7.50,date/time:,2021/Jul/28 11:45,,,,,,,,,,,,
,1,23.9,6.70,51.70,34.80,7.10,weather:,"sunny, hot, calm",,,,,,,,,,,,
,2,23.7,7.50,51.70,34.80,7.08,people:,Gina and Michelle Douglas (summer assistant),,,,,,,,,,,,
,3,23.7,7.86,51.70,34.80,7.10,air temp (C):, 	21.7 ,,,,,,,,,,,,
,4,23.6,8.27,51.60,34.80,7.10,secchi 1 (m):, 	6.9 ,,,,,,,,,,,,
,5,22.5,9.08,51.40,34.15,7.17,secchi 2 (m):, 	6.9 ,,,,,,,,,,,,
,6,17.0,13.04,48.90,34.15,7.44,Nitrogen (ug/L):,na,,,,,,,,,,,,
,7,12.0,14.67,49.20,34.85,7.18,Phosporus (ug/L):,na,,,,,,,,,,,,
,8,10.3,11.12,50.60,33.15,6.68,,,,,,,,,,,,,,
,9,9.4,6.75,52.10,34.80,6.39,DATA NOTES,,,,,,,,,,,,,
,10,8.9,3.57,54.80,35.75,6.24,,,,,,,,,,,,,,
,11,8.7,2.23,57.40,37.05,6.16,,,,,,,,,,,,,,
,12,na,na,na,na,na,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,20.7,6.10,50.60,33.15,6.93,date/time:,2021/Aug/26 14:00,,,,,,,,,,,,
,1,21.9,7.80,50.80,33.15,6.87,weather:,"windy, cloudy, light rain",,,,,,,,,,,,
,2,21.9,8.48,50.90,33.15,6.90,people:,Gina,,,,,,,,,,,,
,3,21.9,8.62,50.60,33.15,6.91,air temp (C):, 	19.7 ,,,,,,,,,,,,
,4,21.7,8.84,50.70,33.15,6.91,secchi 1 (m):, 	5.7 ,,,,,,,,,,,,
,5,22.0,8.87,50.90,33.15,6.91,secchi 2 (m):,na,,,,,,,,,,,,
,6,21.7,8.78,50.60,33.15,6.92,Nitrogen (ug/L):,na,,,,,,,,,,,,
,7,19.5,11.22,48.80,31.85,6.85,Phosporus (ug/L):,na,,,,,,,,,,,,
,8,14.3,9.43,49.90,32.50,6.50,,,,,,,,,,,,,,
,9,11.9,4.56,52.30,33.80,6.14,DATA NOTES,,,,,,,,,,,,,
,10,10.9,2.10,58.50,37.70,6.05,,,,,,,,,,,,,,
,11,10.4,1.39,60.70,39.00,6.08,,,,,,,,,,,,,,
,12,na,na,na,na,na,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,19.1,8.56,50.00,32.50,7.46,date/time:,2021/Sep/19 2:30,,,,,,,,,,,,
,1,19.0,8.87,49.80,32.50,6.98,weather:,"clouds, sunny, light wind",,,,,,,,,,,,
,2,18.8,8.77,50.00,32.50,6.95,people:,carrie and gina,,,,,,,,,,,,
,3,18.8,8.45,50.00,32.50,6.98,air temp (C):, 	15.9 ,,,,,,,,,,,,
,4,18.8,8.88,49.90,32.50,6.96,secchi 1 (m):, 	6.1 ,,,,,,,,,,,,
,5,18.7,8.67,49.80,32.50,6.93,secchi 2 (m):, 	6.9 ,,,,,,,,,,,,
,6,18.7,8.84,49.90,32.50,6.90,Nitrogen (ug/L):,na,,,,,,,,,,,,
,7,18.8,8.61,50.00,32.50,6.91,Phosporus (ug/L):,na,,,,,,,,,,,,
,8,15.8,4.64,50.40,32.50,6.69,,,,,,,,,,,,,,
,9,12.0,1.85,53.10,34.45,6.44,DATA NOTES,no water samples,,,,,,,,,,,,
,10,10.9,1.28,57.70,37.30,6.07,,,,,,,,,,,,,,
,11,10.4,1.20,62.00,40.60,6.02,,,,,,,,,,,,,,
,12,na,na,na,na,na,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,14.3,8.24,50.00,32.50,6.78,date/time:,2021/Oct/13 15:15,,,,,,,,,,,,
,1,14.3,8.62,50.40,32.50,6.67,weather:,"calm, light coulds, rain",,,,,,,,,,,,
,2,14.2,9.11,50.20,32.50,6.71,people:,Carrie and Gina,,,,,,,,,,,,
,3,14.1,9.03,49.90,32.50,7.79,air temp (C):, 	13.0 ,,,,,,,,,,,,
,4,14.2,9.03,50.10,32.50,6.72,secchi 1 (m):, 	4.3 ,,,,,,,,,,,,
,5,14.3,9.27,50.50,32.50,6.69,secchi 2 (m):, 	5.9 ,,,,,,,,,,,,
,6,14.1,9.32,50.10,32.50,6.66,Nitrogen (ug/L):,na,,,,,,,,,,,,
,7,14.0,9.24,50.00,32.50,6.68,Phosporus (ug/L):,na,,,,,,,,,,,,
,8,14.2,9.07,50.10,32.50,6.69,,,,,,,,,,,,,,
,9,14.2,9.14,50.10,32.50,6.70,DATA NOTES,November -- skipped this month,,,,,,,,,,,,
,10,14.1,9.07,50.20,32.50,6.69,,"December - the lakes were partly frozen, with some parts of open water, temperatures went close to -16",,,,,,,,,,,,
,11,13.9,9.23,50.20,32.50,6.67,,,,,,,,,,,,,,
,12,14.1,9.27,50.10,32.50,6.67,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,4.4,13.90,47.30,30.55,6.25,date/time:,2022/Jan/18 11:30,,,,,,,,,,,,
,1,4.2,13.24,47.70,30.55,6.07,weather:,"calm, light clouds, foggy",,,,,,,,,,,,
,2,4.3,13.29,47.50,30.55,5.96,people:,Carrie and Gina,,,,,,,,,,,,
,3,4.3,13.23,47.60,30.55,5.94,air temp (C):, 	7.3 ,,,,,,,,,,,,
,4,4.3,13.31,47.20,30.55,5.93,secchi 1 (m):, 	4.5 ,,,,,,,,,,,,
,5,4.1,13.17,47.20,30.55,5.97,secchi 2 (m):, 	4.9 ,,,,,,,,,,,,
,6,4.2,13.15,47.20,30.55,6.00,Nitrogen (ug/L):,na,,,,,,,,,,,,
,7,4.1,13.04,47.40,30.55,6.03,Phosporus (ug/L):,na,,,,,,,,,,,,
,8,4.0,13.17,47.50,31.20,6.06,,,,,,,,,,,,,,
,9,4.1,13.02,47.50,30.55,6.09,DATA NOTES,"some ice on lake, less than on Gunflint",,,,,,,,,,,,
,10,4.0,13.30,47.20,30.55,6.10,,,,,,,,,,,,,,
,11,4.1,12.93,47.44,30.55,6.11,,,,,,,,,,,,,,
,12,4.1,12.86,47.50,30.55,6.13,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,5.0,7.22,47.90,31.20,6.66,date/time:,2022/Feb/17 14:20,,,,,,,,,,,,
,1,4.9,7.24,47.90,31.20,6.27,weather:,"sunny, calm, light breeze",,,,,,,,,,,,
,2,4.7,9.80,47.80,31.20,6.24,people:,Carrie and Gina,,,,,,,,,,,,
,3,4.7,10.32,47.90,31.20,6.27,air temp (C):, 	9.1 ,,,,,,,,,,,,
,4,4.6,10.80,47.90,31.20,6.17,secchi 1 (m):, 	4.5 ,,,,,,,,,,,,
,5,4.6,11.16,48.00,31.20,6.17,secchi 2 (m):, 	4.7 ,,,,,,,,,,,,
,6,4.6,11.45,48.00,31.20,6.19,Nitrogen (ug/L):,,,,,,,,,,,,,
,7,4.5,11.72,48.00,31.20,6.20,Phosporus (ug/L):,,,,,,,,,,,,,
,8,4.5,11.91,48.00,31.20,6.21,,,,,,,,,,,,,,
,9,4.5,12.04,47.90,31.20,6.23,DATA NOTES,,,,,,,,,,,,,
,10,4.5,12.16,48.00,31.20,6.24,,,,,,,,,,,,,,
,11,4.5,12.24,48.00,31.20,6.25,,,,,,,,,,,,,,
,12,4.5,12.38,48.00,31.20,6.26,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,7.2,13.83,47.20,30.55,6.70,date/time:,2022/Mar/23 14:20,,,,,,,,,,,,
,1,6.9,13.96,47.20,30.55,6.57,weather:,"sunny, windy, some clouds",,,,,,,,,,,,
,2,6.9,13.94,47.20,30.55,6.37,people:,Carrie and Gina,,,,,,,,,,,,
,3,6.9,13.85,47.30,30.55,6.17,air temp (C):, 	9.6 ,,,,,,,,,,,,
,4,6.8,13.84,47.30,30.55,6.21,secchi 1 (m):, 	3.1 ,,,,,,,,,,,,
,5,6.8,13.80,47.30,30.55,6.24,secchi 2 (m):, 	4.3 ,,,,,,,,,,,,
,6,6.7,13.74,47.30,30.55,6.28,Nitrogen (ug/L):,,,,,,,,,,,,,
,7,6.7,13.67,47.30,30.55,6.31,Phosporus (ug/L):,,,,,,,,,,,,,
,8,6.7,13.39,47.30,30.55,6.33,,,,,,,,,,,,,,
,9,6.7,13.69,47.30,30.55,6.27,DATA NOTES,,,,,,,,,,,,,
,10,6.7,13.54,47.20,30.55,6.38,,,,,,,,,,,,,,
,11,6.7,13.44,47.30,30.55,6.41,,,,,,,,,,,,,,
,12,6.7,13.57,47.30,30.55,6.42,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,15.9,7.03,45.10,29.25,6.62,date/time:,2022/May/10 14:20,,,,,,,,,,,,
,1,15.7,7.34,45.30,29.25,6.57,weather:,"sunny, windy, some clouds",,,,,,,,,,,,
,2,15.2,7.80,45.20,29.25,6.60,people:,Carrie and Gina,,,,,,,,,,,,
,3,14.5,8.80,45.40,29.25,6.61,air temp (C):, 	16.3 ,,,,,,,,,,,,
,4,12.6,9.52,46.00,29.90,6.63,secchi 1 (m):, 	3.1 ,,,,,,,,,,,,
,5,11.6,10.12,46.30,30.55,6.55,secchi 2 (m):, 	3.0 ,,,,,,,,,,,,
,6,10.0,10.42,46.90,30.55,6.43,Nitrogen (ug/L):,,,,,,,,,,,,,
,7,9.1,10.31,47.20,30.55,6.27,Phosporus (ug/L):,,,,,,,,,,,,,
,8,8.7,9.73,47.40,30.55,6.18,,,,,,,,,,,,,,
,9,8.5,9.48,47.50,30.55,6.15,DATA NOTES,,,,,,,,,,,,,
,10,8.4,9.26,47.50,30.20,6.14,,,,,,,,,,,,,,
,11,8.3,8.88,47.60,31.20,6.15,,,,,,,,,,,,,,
,12,8.3,8.55,47.80,31.20,6.15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,18.0,3.17,44.70,29.25,7.12,date/time:,6/11/22 10:00,,,,,,,,,,,,
,1,18.3,3.47,44.70,29.25,6.98,weather:,"cloudy, windy",,,,,,,,,,,,
,2,18.0,3.39,46.60,29.25,6.98,people:,Gina and Ziemek (Gina's son),,,,,,,,,,,,
,3,18.0,3.53,44.80,29.25,6.98,air temp (C):, 	15.8 ,,,,,,,,,,,,
,4,17.9,5.42,44.70,29.25,6.91,secchi 1 (m):, 	2.7 ,,,,,,,,,,,,
,5,17.0,6.00,44.60,29.25,7.00,secchi 2 (m):, 	3.0 ,,,,,,,,,,,,
,6,14.3,7.62,46.30,29.90,6.96,Nitrogen (ug/L):,,,,,,,,,,,,,
,7,13.2,7.97,45.90,29.90,6.92,Phosporus (ug/L):,,,,,,,,,,,,,
,8,12.2,8.00,46.60,30.55,6.85,,,,,,,,,,,,,,
,9,11.3,7.61,47.40,31.20,6.73,DATA NOTES,,,,,,,,,,,,,
,10,10.1,6.45,48.70,31.85,6.60,,,,,,,,,,,,,,
,11,9.9,4.50,49.10,31.85,6.16,,,,,,,,,,,,,,
,12,9.8,3.72,49.00,31.85,6.06,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,21.8,4.00,45.90,29.90,6.77,date/time:,7/16/22 10:30,,,,,,,,,,,,
,1,22.0,4.24,46.10,29.90,6.90,weather:,"calm, cloudy",,,,,,,,,,,,
,2,21.8,4.15,45.80,29.90,6.89,people:,Carrie and Gina,,,,,,,,,,,,
,3,21.8,7.38,46.10,29.90,6.88,air temp (C):, 	18.0 ,,,,,,,,,,,,
,4,21.7,7.70,46.10,29.90,6.89,secchi 1 (m):, 	3.9 ,,,,,,,,,,,,
,5,17.9,8.86,46.50,29.90,6.87,secchi 2 (m):, 	4.1 ,,,,,,,,,,,,
,6,14.6,8.29,47.00,29.90,6.73,Nitrogen (ug/L):,,,,,,,,,,,,,
,7,12.5,6.44,47.30,30.55,6.05,Phosporus (ug/L):,,,,,,,,,,,,,
,8,11.2,5.01,47.90,30.55,6.03,,,,,,,,,,,,,,
,9,10.5,2.61,51.00,31.20,5.98,DATA NOTES,,,,,,,,,,,,,
,10,10.1,1.63,51.60,33.80,5.97,,,,,,,,,,,,,,
,11,10.0,1.41,55.80,36.40,5.95,,,,,,,,,,,,,,
,12,10.0,1.39,58.50,37.30,5.97,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,25.7,7.86,47.60,30.55,6.86,date/time:,8/16/22 11:30,,,,,,,,,,,,
,1,25.1,8.56,47.80,31.20,6.90,weather:,"sunny, calm, ligh breeze",,,,,,,,,,,,
,2,24.8,9.04,47.40,30.55,6.95,people:,Carrie and Gina,,,,,,,,,,,,
,3,24.9,8.96,47.30,30.55,6.85,air temp (C):, 	22.2 ,,,,,,,,,,,,
,4,24.3,9.30,47.40,30.55,6.87,secchi 1 (m):, 	4.6 ,,,,,,,,,,,,
,5,20.2,7.44,47.20,30.55,6.83,secchi 2 (m):, 	5.5 ,,,,,,,,,,,,
,6,15.8,6.63,47.20,30.55,6.57,Nitrogen (ug/L):,,,,,,,,,,,,,
,7,13.4,8.92,48.00,31.20,6.50,Phosporus (ug/L):,,,,,,,,,,,,,
,8,8.4,2.74,49.10,31.85,5.89,,,,,,,,,,,,,,
,9,11.4,1.72,53.50,31.10,5.85,DATA NOTES,,,,,,,,,,,,,
,10,10.7,1.55,59.80,31.00,5.80,,,,,,,,,,,,,,
,11,,,,,,,,,,,,,,,,,,,
,12,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,20.5,3.78,49.70,31.85,7.42,date/time:,9/20/22 14:00,,,,,,,,,,,,
,1,21.2,4.72,48.30,31.85,7.08,weather:,"sunny, calm, light breeze",,,,,,,,,,,,
,2,21.0,5.42,48.40,31.85,6.96,people:,Gina and Wisia (Gina's daughter),,,,,,,,,,,,
,3,20.5,5.91,48.50,31.20,6.94,air temp (C):, 	24.1 ,,,,,,,,,,,,
,4,20.4,6.42,48.40,31.85,6.82,secchi 1 (m):, 	4.1 ,,,,,,,,,,,,
,5,20.5,6.73,48.50,31.20,6.69,secchi 2 (m):, 	4.9 ,,,,,,,,,,,,
,6,19.7,7.20,48.50,31.85,6.57,Nitrogen (ug/L):,,,,,,,,,,,,,
,7,17.3,7.62,49.10,31.85,6.81,Phosporus (ug/L):,,,,,,,,,,,,,
,8,13.8,5.74,49.30,31.85,6.55,,,,,,,,,,,,,,
,9,12.1,3.84,65.30,39.00,6.19,DATA NOTES,,,,,,,,,,,,,
,10,10.8,2.23,65.30,42.25,6.04,,,,,,,,,,,,,,
,11,10.7,1.53,65.00,42.10,6.07,,,,,,,,,,,,,,
,12,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,18.0,5.57,48.80,31.85,6.92,date/time:,10/18/22 12:00,,,,,,,,,,,,
,1,18.0,6.53,49.00,31.85,6.77,weather:,"sunny, calm, light breeze",,,,,,,,,,,,
,2,17.6,7.39,48.60,31.85,6.78,people:,Gina and Wisia (Gina's daughter),,,,,,,,,,,,
,3,17.6,7.85,49.00,31.85,6.78,air temp (C):, 	16.7 ,,,,,,,,,,,,
,4,17.7,8.22,49.90,31.85,6.70,secchi 1 (m):, 	4.9 ,,,,,,,,,,,,
,5,17.4,6.65,48.70,31.85,6.80,secchi 2 (m):, 	4.7 ,,,,,,,,,,,,
,6,17.6,4.57,48.50,31.85,6.82,Nitrogen (ug/L):,,,,,,,,,,,,,
,7,17.4,1.80,48.50,31.85,6.73,Phosporus (ug/L):,,,,,,,,,,,,,
,8,13.1,0.96,54.10,35.10,6.50,,,,,,,,,,,,,,
,9,11.4,1.25,62.10,40.15,6.47,DATA NOTES,time not noted,,,,,,,,,,,,
,10,10.8,1.26,57.30,44.20,6.20,,,,,,,,,,,,,,
,11,10.5,1.04,68.90,44.85,5.99,,,,,,,,,,,,,,
,12,10.1,1.20,69.30,44.85,5.99,,,,,,,,,,,,,,
,13,10.4,1.20,69.30,45.50,6.01,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,3.2,20.27,49.70,32.50,6.53,date/time:,12/26/22 9:30,,,,,,,,,,,,
,1,3.1,16.70,49.70,32.50,6.90,weather:,"calm, light breeze",,,,,,,,,,,,
,2,3.1,15.60,49.80,32.50,5.85,people:,Gina and Ziemek (Gina's son),,,,,,,,,,,,
,3,3.1,15.12,49.70,32.50,55.85,air temp (C):,7.7,,,,,,,,,,,,
,4,3.1,14.53,49.70,32.50,5.90,secchi 1 (m):,3.50,,,,,,,,,,,,
,5,3.1,14.75,49.70,32.50,5.93,secchi 2 (m):,4.37,,,,,,,,,,,,
,6,3.1,14.67,49.70,32.50,5.97,Nitrogen (ug/L):,,,,,,,,,,,,,
,7,3.1,14.62,49.70,32.50,6.00,Phosporus (ug/L):,,,,,,,,,,,,,
,8,3.1,14.54,49.70,32.50,6.02,,,,,,,,,,,,,,
,9,3.1,14.53,49.70,32.50,6.04,DATA NOTES,"December 23, 24, 25 - lakes partly frozen, could be 3/4, but ice not strong enough to walk on",,,,,,,,,,,,
,10,3.1,14.48,49.70,32.50,6.05,,,,,,,,,,,,,,
,11,3.1,14.45,49.70,32.50,6.07,,,,,,,,,,,,,,
,12,3.1,14.48,49.70,32.50,6.09,,,,,,,,,,,,,,
,13,3.1,14.44,49.70,32.50,6.10,,,,,,,,,,,,,,
,14,3.1,14.46,49.70,32.50,6.11,,,,,,,,,,,,,,
,15,3.1,14.32,49.70,32.50,6.12,,,,,,,,,,,,,,
,16,3.2,10.60,49.60,32.50,6.11,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,4.6,14.12,48.50,31.20,6.04,date/time:,2/14/23 10:15,,,,,,,,,,,,
,1,4.7,13.43,48.50,31.85,5.90,weather:,"calm, light breeze, sunny",,,,,,,,,,,,
,2,4.6,13.12,48.50,31.85,5.99,people:,Gina and Carrie,,,,,,,,,,,,
,3,4.6,13.01,48.50,31.20,6.08,air temp (C):,3.4,,,,,,,,,,,,
,4,4.6,13.02,48.50,31.85,6.14,secchi 1 (m):, 	4.0 ,,,,,,,,,,,,
,5,4.6,13.82,48.50,31.20,6.18,secchi 2 (m):, 	4.8 ,,,,,,,,,,,,
,6,4.6,13.01,48.50,31.85,6.21,Nitrogen (ug/L):,,,,,,,,,,,,,
,7,4.6,13.02,48.50,31.85,6.24,Phosporus (ug/L):,,,,,,,,,,,,,
,8,4.6,13.02,48.50,31.20,6.28,,,,,,,,,,,,,,
,9,4.6,12.90,48.50,31.20,6.30,DATA NOTES,a day after a very strong wind,,,,,,,,,,,,
,10,4.6,13.02,48.50,31.85,6.29,,,,,,,,,,,,,,
,11,4.6,12.85,48.50,31.20,6.30,,,,,,,,,,,,,,
,12,4.6,13.01,48.50,31.85,6.30,,,,,,,,,,,,,,
,13,4.6,12.94,48.50,31.85,6.32,,,,,,,,,,,,,,
,14,4.6,12.35,48.50,31.85,6.33,,,,,,,,,,,,,,
,15,4.6,12.50,48.50,31.85,6.34,,,,,,,,,,,,,,
,16,4.7,5.22,48.40,31.20,6.32,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,8.1,14.98,48.30,31.20,x,date/time:,3/22/23 10:30,,,,,,,,,,,,
,1,7.8,14.63,48.00,31.20,x,weather:,"nice, sunny",,,,,,,,,,,,
,2,7.2,14.51,48.10,31.20,x,people:,"Carrie, Gina",,,,,,,,,,,,
,3,6.2,14.62,48.20,31.20,x,air temp (C):, 	15.0 ,,,,,,,,,,,,
,4,5.7,14.52,48.10,31.20,x,secchi 1 (m):, 	2.8 ,,,,,,,,,,,,
,5,5.6,14.37,48.10,31.20,x,secchi 2 (m):, 	3.6 ,,,,,,,,,,,,
,6,5.4,14.40,48.10,31.20,x,Nitrogen (ug/L):,,,,,,,,,,,,,
,7,5.3,14.40,48.20,31.20,x,Phosporus (ug/L):,,,,,,,,,,,,,
,8,5.3,14.19,48.20,31.20,x,,,,,,,,,,,,,,
,9,5.3,14.08,48.20,31.20,x,,,,,,,,,,,,,,
,10,5.3,13.87,48.20,31.20,x,,,,,,,,,,,,,,
,11,5.3,13.85,48.20,31.20,x,,,,,,,,,,,,,,
,12,5.3,13.76,48.30,31.20,x,,,,,,,,,,,,,,
,13,5.2,13.95,48.30,31.20,x,DATA NOTES,PH probe not working,,,,,,,,,,,,
,14,5.2,13.02,48.40,31.20,x,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,16,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,23.8,7.48,51.40,33.15,8.03,date/time:,6/29/23 11:00,,,,,,,,,,,,
,1,23.8,8.30,51.40,33.15,8.05,weather:,"sunny, calm, a bit of rain",,,,,,,,,,,,
,2,23.3,8.40,51.30,33.15,8.04,people:,"Sue Ellingsen, Gina",,,,,,,,,,,,
,3,22.2,8.90,50.90,33.15,8.40,air temp (C):, 	22.4 ,,,,,,,,,,,,
,4,20.5,9.23,50.60,33.15,8.19,secchi 1 (m):, 	4.7 ,,,,,,,,,,,,
,5,18.4,10.04,50.00,32.50,8.08,secchi 2 (m):, 	4.4 ,,,,,,,,,,,,
,6,14.1,12.29,49.20,31.85,7.80,Nitrogen (ug/L):,,,,,,,,,,,,,
